Poly Bridge 2 - W0017 "Weekly Challenge #17" any% leaderboard (* = breaks)
Updated 2022-05-29T00:36:29.186Z
554/628 unique ranks shown

   *1. $707     Bellair08
   *2. $725     EUNICE
   *3. $832     BaconPancakes
   *4. $1,234   Lagiiiie
  542. $55,554  Skylerhuan
 *543. $55,628  Натор
  544. $55,922  Koolaidman5021
  545. $56,436  13silak13
  546. $56,898  lint100ace
 *547. $56,982  filip.risovic
 *548. $58,419  OREO
  549. $60,207  sung2407
  550. $66,522  monssein
 *551. $67,016  rising_orange
 *552. $70,039  Player26
 *553. $77,141  dax.liljenquist
  554. $433,923 Luna Kampling
