Poly Bridge 2 - 2-09C "Anchors Away" any% leaderboard (* = breaks)
Updated 2026-06-07T02:17:14.138Z
1000/12205 unique ranks shown

    1. $1      Chayoneko
  320. $5,322  ?éÿøtê
  321. $5,327  Icebuzzer
  322. $5,334  Zack
  323. $5,336  Epik_Unifish
  324. $5,338  calculette.tom
  325. $5,345  Chappy
  326. $5,353  ayhonglu
  327. $5,359  향로봉대대
  328. $5,363  Martdogg3000
  329. $5,368  s_congdon
  330. $5,370  Robokop
 *331. $5,372  whisper
 *332. $5,373  Tourniquet
  333. $5,380  Sem
  334. $5,383  leicht gesalzener Kabeljaurogen
  335. $5,383  175077847
  336. $5,388  Vortex159_
  337. $5,390  Beep beep I'm a jeep
  338. $5,391  Maine
  339. $5,393  ted.wachtel
 *340. $5,393  Shimbo12
  341. $5,397  Number 1
  342. $5,399  Jonathan
 *343. $5,399  Reefie
  344. $5,405  fyj
  345. $5,406  ryantiaras2012
  346. $5,410  davidloh
  347. $5,410  Minnesota.Nice
  348. $5,412  zyc1102zyc
  349. $5,426  eduardo.yevnes.d
  350. $5,426  kctryon
  351. $5,430  Otso91
  352. $5,430  chani1623
  353. $5,432  Jonny Cage
  354. $5,434  墨翛
  355. $5,439  Jonas
  356. $5,447  kilalolabo
  357. $5,451  recket
 *358. $5,451  the_dko
  359. $5,452  Hoopahoa
 *360. $5,470  goldenpggie
  361. $5,471  QBeast08
  362. $5,479  Kasi
  363. $5,481  BobBacon
  364. $5,481  Stewie410
  365. $5,489  ⛧łmbo⛧
  366. $5,502  Noisyboy
  367. $5,502  cadezillla9
 *368. $5,508  FilthyFrugs
  369. $5,509  Elodie
  370. $5,514  cjw070909
 *371. $5,516  0123
 *372. $5,518  Milko
  373. $5,526  Thachesseburger
  374. $5,536  yuna12527
  375. $5,537  fomolom
  376. $5,538  CharlesNorris
  377. $5,538  shitburger
  378. $5,553  gthompson1129
  379. $5,558  5chmendrick
  380. $5,571  spottypeas
  381. $5,598  DodgeThatAttack
  382. $5,599  Tecnarca
  383. $5,609  CatBurger
 *384. $5,609  tarte
  385. $5,628  CursorCoercer
  386. $5,634  AGiantDwarf
  387. $5,650  pete
  388. $5,654  ７番
 *389. $5,663  Turd Ferguson
  390. $5,671  Bullet_KO
  391. $5,687  chicken king
  392. $5,688  Μην παροχής συμβουλών
  393. $5,690  heogeon5
  394. $5,695  John H.
  395. $5,723  ethan_ec5
 *396. $5,730  klrwayant083
  397. $5,793  Ubundi
  398. $5,798  TheBaby
  399. $5,818  Cat Piss
 *400. $5,838  Teki
  401. $5,841  stardogchamp420
  402. $5,842  Alwise
  403. $5,862  feanor1d
  404. $5,896  taeseokkang66
  405. $5,924  ut2004frk
  406. $5,954  Realyum
 *407. $5,961  Rapidz Tempest
  408. $5,964  Biscuitmunch
  409. $5,968  TwistedSoul
  410. $5,982  蔚雨禅心
  411. $6,023  Atze
  412. $6,051  L94
  413. $6,090  Loopy
  414. $6,090  Gazdgod
  415. $6,100  Brunin_3737
  416. $6,164  KKILLZZZ
  417. $6,185  TeehJoe
 *418. $6,185  144hz lags
  419. $6,224  jcrowley30
  420. $6,238  Smplstx
  421. $6,251  miyo0541
  422. $6,257  TheObsidian
  423. $6,307  Luca大帝
  424. $6,356  toimiski
  425. $6,368  Gel Banana
  426. $6,408  ragin_asian247
  427. $6,424  NetEng
 *428. $6,446  pagh pong
  429. $6,459  Blarnianagain
  430. $6,480  skya774005
  431. $6,503  shedio
 *432. $6,525  henri123lemoine
  433. $6,536  dddrewww
  434. $6,556  Smiley_Bird
  435. $6,589  simon
  436. $6,591  --xXLinkXx--
  437. $6,604  andrewzhang927
  438. $6,645  Stella Lopez
  439. $6,649  Skully
  440. $6,676  twitch.tv/skin_the_goat
 *441. $6,679  sbbsndy
  442. $6,693  SlushyBussy
  443. $6,717  stedeldelse
  444. $6,736  Covests
  445. $6,757  InstinctToHunt
 *446. $6,758  ZeratulAud
  447. $6,803  DeRoepert
  448. $6,805  Steenholdt
  449. $6,830  Espagulos
  450. $6,848  IanSar
  451. $6,917  Spektre
  452. $6,940  Me 10 Jin
  453. $7,088  Feike Westenbroek
 *454. $7,103  bmckenna5
  455. $7,150  ALPTech75
  456. $7,200  笑靥
 *457. $7,249  Deadrew's Frozen Custard
 *458. $7,252  Fuzzums
 *459. $7,272  DrGo0fy
 *460. $7,315  Chico Escobar
  461. $7,322  Frits
  462. $7,330  Filter
  463. $7,343  xSDM
  464. $7,360  zol
  465. $7,425  andreaslohse
  466. $7,469  RNG_lil_liam
  467. $7,478  QuentinQuarantino
  468. $7,530  whatever
  469. $7,560  rgnr.
  470. $7,594  Brome.C
  471. $7,594  joo723
  472. $7,617  njdropsey
  473. $7,709  spray
  474. $7,856  pabfergol
  475. $7,889  kylelamar.rc
  476. $7,928  AndyPesto^
  477. $8,078  ThePengestMunch
  478. $8,147  Kyle
  479. $8,150  maggimuz
  480. $8,203  _Smash_
  481. $8,244  michael
  482. $8,263  !⁧⁧scąsh
 *483. $8,386  zRABZz
  484. $8,485  changml815
  485. $8,545  coclet.francois
  486. $8,595  cROCfff
  487. $8,678  eucleaties
  488. $8,699  buuj
  489. $8,740  maxkoziol820
  490. $8,763  TakenoAki
  491. $8,777  Dim
  492. $8,817  arronon
  493. $8,819  SnowZillin
  494. $8,824  judespencer2015
  495. $8,838  浮浪者
  496. $8,893  The driver 0.3
  497. $8,932  calshaw18
  498. $8,945  Thoomor
  499. $8,947  MooseWolf2000
  500. $8,949  MaxOyaggi
  501. $8,959  pesca1
  502. $8,966  oscar
  503. $8,970  mertcosar.12
  504. $8,985  zepmorrow
  505. $8,987  tjlyndon09
  506. $8,999  iroz-boyz
  507. $9,010  Janus
  508. $9,035  bellowey
  509. $9,067  w00zy
  510. $9,084  Roe Jogan
  511. $9,092  tttly628
  512. $9,131  «KG» kAZE
  513. $9,194  SMG087
  514. $9,200  jollyC
  515. $9,206  JJgamer731
  516. $9,238  Pr Philson
 *517. $9,268  PENTANgon cs.money
  518. $9,276  Maypl
  519. $9,300  Skarb Życia
  520. $9,303  madmax95
  521. $9,318  Don Moretalk
  522. $9,319  spru
  523. $9,335  Noob Shot
  524. $9,410  lukas.bornheim
  525. $9,426  ssstef.de.bie
  526. $9,479  pranstergansterplays15
  527. $9,497  The Tales of Willi
  528. $9,519  antoniovc0222
  529. $9,529  alexmoreno524
 *530. $9,571  Corrag
  531. $9,580  Phil Swift
  532. $9,604  Kalose75
  533. $9,627  Allard
  534. $9,629  ben.lovelock
  535. $9,636  Greezy
  536. $9,638  GreenGunGuy
  537. $9,646  phoenixng0831
  538. $9,647  DARN
  539. $9,665  brocktacular
  540. $9,669  Interlaced
  541. $9,676  Reimu___Love
  542. $9,732  snille tante andreas
  543. $9,741  Recruit.Corgi
  544. $9,749  AstroSloth
  545. $9,752  cara
  546. $9,758  TypicalBailey
  547. $9,761  Marijn
  548. $9,765  FrzMtrsprt
  549. $9,765  MaKeRu
  550. $9,781  Iodashu
  551. $9,785  Schmody
  552. $9,786  derookie
  553. $9,806  Blackmage
  554. $9,806  cornus
  555. $9,848  Josef Betha
  556. $9,852  d z e j
  557. $9,854  OKKUER
  558. $9,856  bajeri
  559. $9,861  LunarXK
  560. $9,863  MaggotMan
  561. $9,896  FLUFFBALL
 *562. $9,896  MacChicken
  563. $9,904  ann907
  564. $9,907  piaseknadmorski
  565. $9,928  ultimatedgambler
  566. $9,928  furiousgrandma
  567. $9,938  jsam4.2005
  568. $9,953  Andreas
  569. $9,964  Uke
  570. $9,967  sky64redstone
  571. $9,970  flo
  572. $9,986  phomp.phomp
  573. $9,990  chiu0611
  574. $9,992  Max
  575. $9,999  Kwek
  576. $10,003 Legal NarcoticX
  577. $10,036 Pringlee
  578. $10,047 Shortbus Driver
  579. $10,047 colesql.
  580. $10,047 B_G
  581. $10,047 ottoslade
  582. $10,050 happykid0404
 *583. $10,082 fladrifv
  584. $10,085 QuirtTheDirt
  585. $10,096 bcowburn
  586. $10,105 swaq
  587. $10,121 amberhoofd
  588. $10,178 rudimoriano
  589. $10,185 AMuteCrypt
  590. $10,240 GAYKU *no mic*
  591. $10,247 malmhaug_malte
  592. $10,256 squish92
 *593. $10,268 matthewsabio
  594. $10,269 jfo
  595. $10,296 Sockum
  596. $10,317 Glace2
  597. $10,318 Dorno
  598. $10,329 Aeolium
  599. $10,329 taxmaxgoodman
  600. $10,334 The Cabman
  601. $10,345 jakob.infuehr
  602. $10,354 Parzival_one
  603. $10,356 XxRightTesticlexX
  604. $10,359 Floop
  605. $10,369 Kennetsu
  606. $10,378 Desann
  607. $10,384 Trinsic
  608. $10,384 honky
  609. $10,386 local person
  610. $10,390 かみゆー
  611. $10,408 vroot
  612. $10,423 JakubBouska
  613. $10,426 Shimspect
  614. $10,427 HOLY SHIT !!!
  615. $10,438 KnartBoy
  616. $10,438 Quadley
  617. $10,439 fidevurs
  618. $10,443 bettina-knipping
  619. $10,458 Diggsey
  620. $10,467 koutanpuni
  621. $10,474 Masonator
  622. $10,474 commander_matthew
  623. $10,475 Algorythmics
  624. $10,483 Viðarr
 *625. $10,498 A JANITOR
 *626. $10,499 stxfie
  627. $10,500 wardude1
  628. $10,500 Jacowboy
  629. $10,513 Chaboncito
  630. $10,517 spinolex2
 *631. $10,517 TJSMNNF
  632. $10,520 ginoginoya
  633. $10,523 sarp01
  634. $10,532 pauldeering91
  635. $10,532 Linkor32
  636. $10,539 Temmie Village
  637. $10,542 -4 Coconuts
  638. $10,544 brutaldespair
  639. $10,544 Jrillr
  640. $10,560 操盘大师奏秃秃
  641. $10,565 Jambo
  642. $10,569 ameneon
  643. $10,571 A cat
  644. $10,573 mamoofromroslyn
  645. $10,577 x401
  646. $10,580 jessdudde
  647. $10,590 ^0Jim ^1Dandy
  648. $10,592 Ghostly
  649. $10,593 lulu614
  650. $10,597 drehermoreland
  651. $10,598 Pallen 2019
  652. $10,600 salazar_zin
  653. $10,601 ok
  654. $10,602 pipianerg4
  655. $10,614 111emj111
  656. $10,618 kyungkyu
  657. $10,619 sirchance2002
  658. $10,621 Dimma the Wifebeater
  659. $10,623 steiger43
  660. $10,624 mafre1726
  661. $10,626 Alex
  662. $10,627 tinypenguin000
  663. $10,628 Kerplowy
  664. $10,630 Käpt'n zur See
  665. $10,632 cifra_
  666. $10,636 DrSoepbal
  667. $10,637 raphael.kreutzer
  668. $10,638 900225
  669. $10,638 aliteraltree7433
  670. $10,640 jclark28884
  671. $10,645 Mikkulf
  672. $10,645 lil W.na
  673. $10,647 MrThez
  674. $10,647 MadMax256
 *675. $10,648 DG_37
  676. $10,649 Goldenhammer
  677. $10,654 RaphaBertachine
  678. $10,655 matt1066
 *679. $10,655 E
  680. $10,657 0909aiden
  681. $10,658 たるらんたん
  682. $10,663 Targriss
  683. $10,664 Lemon Sorbet
  684. $10,664 Kampfsau
  685. $10,667 krzyp0lishman
  686. $10,667 janujanu
  687. $10,668 folktrollish
  688. $10,668 Solus
  689. $10,668 Aliaz
  690. $10,669 netsirhc
 *691. $10,669 CasualSanta
  692. $10,670 massi2006.marrano
  693. $10,670 SRA
  694. $10,672 DarkHeldoro
  695. $10,674 MayTricks
  696. $10,678 not exist
  697. $10,681 ʙʀᴜᴠ ᴛʜᴇᴡᴀᴛᴄʜᴇʀ
  698. $10,681 Starling
  699. $10,685 NotFound
  700. $10,686 tsunami3lava
  701. $10,687 mirth
  702. $10,687 Hachikachi
  703. $10,693 brodo star
  704. $10,693 Caracce
  705. $10,696 freddiebear771
  706. $10,697 goatboy
  707. $10,698 lolrus26
  708. $10,698 Gaisprasten
  709. $10,700 jannik.bischof
  710. $10,701 Kid Sheldon
  711. $10,701 Broncorex
  712. $10,704 huurainotoruneko
  713. $10,705 StarGaming
  714. $10,707 George Washington's AR-15
  715. $10,707 your_sister_DISINTERGATOR 2-1-0
  716. $10,708 grawrman
  717. $10,711 Mirinekcz
  718. $10,713 Darkphoenix
  719. $10,714 doandchan
  720. $10,715 pacopete0820
  721. $10,717 CoasterBoy
  722. $10,717 futurejl
  723. $10,718 pmh6958
  724. $10,718 gabrielemancini788
  725. $10,719 juan
  726. $10,721 Glitch29
 *727. $10,723 Leprechaun
  728. $10,724 CompterMan
  729. $10,724 sam_away
  730. $10,725 Molten Inferno
  731. $10,726 lukeroney99
  732. $10,726 chulli77me2
  733. $10,727 l.ferro1978
  734. $10,728 MateoYT 10
  735. $10,731 Yenaham
  736. $10,731 Shaeshua
  737. $10,732 En3a
  738. $10,734 stackofpancakes
  739. $10,734 mattecom05
  740. $10,734 Dawesy👺
  741. $10,735 ~Zed not Z~
  742. $10,735 Waslo
  743. $10,735 CoolCheddar
  744. $10,736 mrhoovy1126
  745. $10,736 shinoha
  746. $10,737 adc112
  747. $10,738 jtphilli360
  748. $10,739 Piżamka_
 *749. $10,739 sircat29_99
  750. $10,740 Niko17
  751. $10,740 Jezre
  752. $10,740 nelegalniygon
  753. $10,742 klemnickiv
  754. $10,742 Heer Virus
  755. $10,743 isseyjieun
  756. $10,743 幻梦北辰
  757. $10,743 crashpss
  758. $10,746 The Millenium F***ing Falcon
  759. $10,746 檸檬
  760. $10,746 Druanach
 *761. $10,747 Ablu2
  762. $10,748 Le Meme
  763. $10,749 Slick
  764. $10,752 1553577242
  765. $10,754 mightym677
  766. $10,754 devildizzy1981
  767. $10,755 kanito00
  768. $10,756 j0rill
  769. $10,756 MadBuddhaAbuser
  770. $10,757 Matte
  771. $10,758 Fierik
  772. $10,758 leobistolfi08
  773. $10,758 JamTime
  774. $10,758 soldateffo
  775. $10,758 CH4OS
  776. $10,759 Pitfall Trap
  777. $10,760 Alphaax
  778. $10,761 timo9888
  779. $10,762 MrLama
  780. $10,766 vivalarebellion
  781. $10,767 waei0000a
  782. $10,768 beldracoargenteus
  783. $10,772 0609karl
  784. $10,781 GreenHunter23
  785. $10,785 guitar4jon
  786. $10,788 Plsdontkillme16
  787. $10,791 J黑
  788. $10,793 Herkenderr
  789. $10,794 Sid
  790. $10,795 adikus
  791. $10,795 Raf
  792. $10,796 ahemprema33
  793. $10,796 Austin H
  794. $10,797 sihysun1
  795. $10,800 peter
 *796. $10,805 Tubson
  797. $10,812 Whyit1
  798. $10,813 FYI I'm a spy... or am I?
  799. $10,814 vreugd5
  800. $10,821 Janzibansi
  801. $10,822 xyianide
  802. $10,826 the_eagle_1313
  803. $10,829 CasterNinja
  804. $10,829 dasibuL
  805. $10,830 yup it's gamer time
 *806. $10,835 Dhulfiqar
  807. $10,837 Jaxson
  808. $10,852 Uncle
  809. $10,853 Bean Bazingoz
  810. $10,867 sabinarosso71
  811. $10,889 Scetsis
  812. $10,891 simpimm
  813. $10,896 Brabb3l
  814. $10,899 totermann123
  815. $10,902 zombiestevepig
  816. $10,902 c0d3m0nk3y
  817. $10,903 AmazingChest
  818. $10,903 aj27harris
  819. $10,909 quentin975
  820. $10,913 Luca_Tomateluca
  821. $10,914 kids2
  822. $10,921 actionaa
  823. $10,922 Deus
  824. $10,923 Gman
  825. $10,926 Cricketize_
  826. $10,928 just in case
  827. $10,931 Ryan Pettit
  828. $10,943 el6r_fe
  829. $10,950 jussikka.veli
  830. $10,960 Alex
  831. $10,962 lancekro
  832. $10,963 [SF3]^1Scott^0freee3
  833. $10,967 BizarroDavid
  834. $10,971 Z da man
  835. $10,973 Max_Girth
  836. $10,976 GotCubes
  837. $10,977 Alvieee
  838. $10,984 Sciom
  839. $10,984 mdchaff
  840. $10,985 Immabird
  841. $10,991 Alvin Skywalter
  842. $10,991 ONAL
  843. $10,992 shortbeakpro
  844. $10,993 gavinrose731
  845. $10,999 SALTY
  846. $10,999 TheSadSlinky
  847. $10,999 Bot0871
  848. $11,004 R3
  849. $11,005 heloman
 *850. $11,019 jamez994
  851. $11,021 Pempa
  852. $11,023 E623
  853. $11,029 chupa71
  854. $11,036 GKHallGamer
  855. $11,036 rldv
  856. $11,038 Mime
  857. $11,039 RubyRuby284
  858. $11,046 Feet
  859. $11,051 Joepocalypse
  860. $11,064 Killer
  861. $11,064 adam.christianson8
  862. $11,068 Nop Nek
  863. $11,072 Yol0man44
  864. $11,073 P.S.Y.C.H.O.
 *865. $11,081 [GPX] Gucci Gustaf
  866. $11,082 Toruga
  867. $11,085 sim1manson
  868. $11,086 Ashley121110
  869. $11,093 moosenensen15
  870. $11,105 klimpergeist
  871. $11,111 Lord jhsch
  872. $11,112 Kimbul
 *873. $11,112 Zentifyyy | Pvpro.com
  874. $11,118 rinrin
  875. $11,119 inv > Smesh
  876. $11,119 Cirrocumulus02
  877. $11,124 kunkun
  878. $11,126 The Mighty Swash
  879. $11,135 PhilosHippos
  880. $11,136 Mopar Madness
  881. $11,142 Bokreol
  882. $11,150 Gatebase
  883. $11,151 luneclipsee
  884. $11,151 whale
  885. $11,160 xDeathSlinger
  886. $11,166 Face7
  887. $11,166 christof
  888. $11,168 Asyxui
  889. $11,168 cintya7777
  890. $11,169 UnsanityLIVE
  891. $11,169 Plyr1739
  892. $11,171 Seven
  893. $11,175 Kohtaro
  894. $11,178 Sid The Sloth
  895. $11,181 Flames ^-^
  896. $11,187 dsfb31r
  897. $11,188 j-a
  898. $11,193 Yaky
  899. $11,194 jaredkazoo
  900. $11,195 提莫队长、
  901. $11,196 master me
  902. $11,199 1213176647
  903. $11,200 tokki10
  904. $11,201 [D1]悕衋xixi
  905. $11,202 ClimbingWolf
  906. $11,204 colseb
  907. $11,206 driveless654
  908. $11,210 Crimson
  909. $11,214 maxjmiles
  910. $11,215 PROwill3
  911. $11,215 SoulWager
  912. $11,217 panderson81
  913. $11,219 kana
  914. $11,225 Kosepose
  915. $11,228 Swiftus
  916. $11,235 rodrigo.diniz321
  917. $11,236 Luisjnc
  918. $11,238 jeremywinick
  919. $11,239 Roquefort Legato
  920. $11,240 Definetly Me
  921. $11,242 calebibbotson19
  922. $11,242 kaisumax
  923. $11,243 sam
  924. $11,247 Wizzy-chan
  925. $11,248 Waddz781
  926. $11,254 TheLesbianWitch
  927. $11,258 Examinator
