Poly Bridge 2 - 1-10 "First Jump" any% leaderboard (* = breaks)
Updated 2022-10-08T00:44:57.365Z
1000/404496 unique ranks shown

   *1. $282   9k5
   *2. $283   Lagiiiie
   *3. $283   ALiCe
   *4. $283   akkun_ouo
   *5. $438   Shadow
   *6. $477   somefakegamer
   *7. $499   Trygeve
   *8. $499   Cookieblues
   *9. $533   からず
  *10. $617   minecat
  *11. $628   Dusty
  *12. $634   Crimson
  *13. $634   palfly15
  *14. $639   thenoob9487
  *15. $781   MOD
  *16. $781   geroniberry
  259. $6,773 GruncleDan
 *260. $6,774 Tehninza
 *261. $6,794 Meganjax
  262. $6,800 {CLR}Pigworthy
 *263. $6,807 Hayley
  264. $6,807 CasterNinja
 *265. $6,814 knarkuz91
  266. $6,815 Nigi9002.
  267. $6,817 CoachellaKong
  268. $6,819 Novil
  269. $6,821 DerRohrbach
  270. $6,841 Toto00
  271. $6,845 Chipper
  272. $6,850 henpenben
 *273. $6,854 PA3E0N
 *274. $6,865 justin.hu4
  275. $6,865 chowchunfu
  276. $6,874 Hannibalini
 *277. $6,876 noot
  278. $6,880 天空蛙
  279. $6,897 Unholy
  280. $6,899 Bun5gPlays
 *281. $6,899 Donut
  282. $6,899 Soba
  283. $6,902 Peter_Dosh
  284. $6,903 kevin-yang0912
  285. $6,909 Quadley
  286. $6,909 468244818
 *287. $6,924 JoshuaF03
  288. $6,929 UltimateDuck
 *289. $6,934 Jul
 *290. $6,935 M37
  291. $6,936 Aoi Ajisai
  292. $6,940 Fa1co
 *293. $6,943 Vlec
  294. $6,949 StumpyWumpy
 *295. $6,950 sm0kiebear
 *296. $6,962 frizi09
  297. $6,964 Minnesota.Nice
  298. $6,965 Christian_Akacro
  299. $6,965 Mency
 *300. $6,969 FinFuz
  301. $6,969 pancakes
  302. $6,969 thermograph
  303. $6,971 Wibbily Wobbily Timey Wimey
  304. $6,972 Kalorienreduziert
  305. $6,976 abidhilmi403
  306. $6,977 1723945294
  307. $6,985 Shikto
  308. $6,985 sabloch
  309. $6,985 Rigel
  310. $6,985 CAShalffull
  311. $6,985 ThatCurryMan
  312. $6,985 1ncanus
  313. $6,985 fnaf 2 god
  314. $6,985 Markthe619
  315. $6,985 McMaggan
  316. $6,986 cyko
  317. $6,987 microraptor
  318. $6,992 dipp.
 *319. $6,993 alex
  320. $6,997 mooseman0423
  321. $7,003 Cix
  322. $7,003 Sexy Boy Industries [woop]
  323. $7,003 shackhorn
  324. $7,017 swhitney1024
  325. $7,022 thirty7even
 *326. $7,024 Stiking
  327. $7,026 philipppaulsen
  328. $7,033 Froederick
  329. $7,072 Lemon Sorbet
  330. $7,072 スピーカーさん
  331. $7,074 Gabe Honer
  332. $7,075 915800506
  333. $7,076 Spaghetticondom
  334. $7,098 tokki10
  335. $7,098 floweri
  336. $7,100 DodgyStyle
  337. $7,101 OhdrahdaKanabehaxn
  338. $7,102 Makaveli
  339. $7,109 Tschorm
  340. $7,113 Alan
  341. $7,121 its_a_me_rodrigo
  342. $7,125 bradidadily
  343. $7,125 PotjeNutella
 *344. $7,127 Ozi
 *345. $7,127 z3r0b00t3r
 *346. $7,133 DReinholdtsen
  347. $7,134 Tylenol_Qc
  348. $7,136 Mbelekor
  349. $7,139 Mikie
 *350. $7,142 zack6769
  351. $7,147 Kyoko
  352. $7,148 president man
  353. $7,153 Man Mage
  354. $7,154 Vruk();
  355. $7,163 ChickensOnChicks
  356. $7,169 CowOnAUnicycle
  357. $7,171 mb
  358. $7,172 D. Lisboa
  359. $7,172 Leftclick
  360. $7,172 Daymaker187
  361. $7,176 yk
  362. $7,179 Wraithlord
  363. $7,180 DuuSuu
  364. $7,181 作死魂
 *365. $7,182 chubbybaby
  366. $7,185 jloc
  367. $7,190 Trav
  368. $7,191 Shiguma
  369. $7,192 roflekak
  370. $7,194 mrpolymath
  371. $7,194 Sebarooo
  372. $7,198 Mr.Sushi
  373. $7,203 唯心Ray
  374. $7,205 incredifred
  375. $7,210 Crynote
  376. $7,212 folly
 *377. $7,214 CS2100
  378. $7,215 iPlays
  379. $7,216 Zynthian
 *380. $7,216 woooowamazingplayerplayingshit
  381. $7,219 gmst51
  382. $7,221 Chzcake
 *383. $7,228 cwwwwww
  384. $7,231 bisukotteli
  385. $7,232 gurch
  386. $7,241 ape
  387. $7,247 Georgette gamer
 *388. $7,249 logan14235
  389. $7,249 Erik
 *390. $7,250 Turd Ferguson
 *391. $7,257 Space Shark
  392. $7,268 MαÐ HαττεR
 *393. $7,282 augieinpdx
  394. $7,282 arkemn
  395. $7,290 Jacowboy
 *396. $7,293 Steve Rambo
 *397. $7,294 Brady2000100
  398. $7,297 Taumata
  399. $7,302 Exydis
 *400. $7,309 Rokusho
  401. $7,311 Tryrik
  402. $7,318 joshua47472
 *403. $7,322 Yuan
  404. $7,324 MoscaTonta
  405. $7,325 WoodWood
 *406. $7,330 1226875104
 *407. $7,331 Scatupult00
 *408. $7,337 FrzMtrsprt
  409. $7,338 Martin
  410. $7,342 Kirby Kidd
  411. $7,345 CapSora
  412. $7,353 ziggie
  413. $7,355 MatFat
 *414. $7,356 Silverclaw7
  415. $7,358 zezetel
 *416. $7,364 aigongar02
 *417. $7,370 boski04
  418. $7,372 MrOp
 *419. $7,380 ZiuTinyat
 *420. $7,381 Zoe
  421. $7,383 Regardless
 *422. $7,383 Taosboy2
 *423. $7,388 TesllaTea マックス
  424. $7,391 𝓱𝓮𝓷𝓽𝓪𝓲
 *425. $7,399 Chris
  426. $7,404 aritzh
 *427. $7,405 UnwrittenFun
 *428. $7,411 masakiokagaki
  429. $7,412 SaltySeal
 *430. $7,412 Whyit1
 *431. $7,414 Wofl
  432. $7,415 adammethven37
  433. $7,417 jaris22
  434. $7,419 CheeseMeistro
  435. $7,420 oiiaa77
  436. $7,422 Lance
  437. $7,422 lil'Shay
 *438. $7,426 michi.stoib
  439. $7,430 Triton_Remix12
 *440. $7,433 jmerickson1999
  441. $7,438 Dedlox60
 *442. $7,438 TurtleDruid
  443. $7,438 Dudeyoudied
  444. $7,444 runrickrun
 *445. $7,445 吸~海龙王
  446. $7,448 Weirdone
  447. $7,449 GearBrain
 *448. $7,450 Raqlore
  449. $7,453 ToSt
  450. $7,455 ArborealOyster
  451. $7,458 BobD
  452. $7,459 Munky
  453. $7,459 jeremywinick
  454. $7,461 jimmyscully
  455. $7,464 Bobcheez ✔
  456. $7,464 DannyInRage
  457. $7,465 addyman17
 *458. $7,465 Xtreme117
  459. $7,469 Pipousial
  460. $7,471 PRNDL
  461. $7,471 gajisai
 *462. $7,474 Tanzanitee
  463. $7,483 Willy
  464. $7,488 Sardoche Jr
  465. $7,491 Barnie Sandlers
  466. $7,491 mohallor
  467. $7,494 malizma333
 *468. $7,495 Cumulus
  469. $7,495 Bappo
  470. $7,495 dumser
 *471. $7,498 bakuhyouzann
  472. $7,499 Uknowit
  473. $7,499 kraal
  474. $7,500 Colon_Pee
  475. $7,501 Smug Megumin
 *476. $7,501 Lpap
 *477. $7,502 Sargon
  478. $7,502 Sedridor107
  479. $7,503 Lemigard
 *480. $7,506 TanMang0
 *481. $7,507 Child Snatcher
  482. $7,513 Fello3
  483. $7,516 Hampa
  484. $7,528 Jam
 *485. $7,529 jtornqvist
 *486. $7,530 fallen5963
  487. $7,534 od
  488. $7,535 Paul
  489. $7,538 СВИНЬЯ ДЖЕБАНЕ
  490. $7,541 plush
  491. $7,541 Mtoshiaki
 *492. $7,550 TobeyDK
  493. $7,550 AltheBino
  494. $7,550 brandonclark462
  495. $7,552 1664809841
  496. $7,553 Frizzara
 *497. $7,555 Chuck
 *498. $7,555 Raidder
 *499. $7,557 DIETTIE
  500. $7,557 olivapaa
 *501. $7,559 1052970753
 *502. $7,562 jomie
 *503. $7,564 mark
  504. $7,568 JackSSprat
  505. $7,568 Ares
  506. $7,571 zinc
  507. $7,578 Fishy
 *508. $7,580 darksider
 *509. $7,590 gv46jzi
  510. $7,590 yo
 *511. $7,590 glowingcobra
  512. $7,593 勇者斯巴達
  513. $7,595 Black Rain
 *514. $7,597 Normal Man
 *515. $7,600 ☽RAYV3☾
  516. $7,600 frotnight funy
  517. $7,601 ruini
 *518. $7,611 wooster000
  519. $7,613 Shmojelfed
  520. $7,616 can010990
  521. $7,617 Harkler
 *522. $7,617 CCTV6
  523. $7,622 AlyKaapiO
 *524. $7,626 Slimeus
 *525. $7,630 IceBoundGlaceon
 *526. $7,639 Alex
  527. $7,641 genevieve.m.draper
 *528. $7,642 CompterMan
 *529. $7,642 Sjor
 *530. $7,647 袁世凯万岁
  531. $7,647 Big Don
  532. $7,647 Monkeyboy
  533. $7,651 YiiiiiilL
  534. $7,652 khefty33
 *535. $7,653 mentalist.kanga
  536. $7,655 Beast 101
 *537. $7,658 vieitasrafael
 *538. $7,659 purple
  539. $7,660 HeI-_-SiUxD
  540. $7,662 patpatipatrick
  541. $7,664 叫我阿神就好了(阿瓦隆组局请叫我)
  542. $7,664 泡泡茶壶
  543. $7,667 Sploosh
  544. $7,669 sumpfkrautjunkie
  545. $7,671 382845377
  546. $7,671 dancos1987
  547. $7,674 ###DomEgCZ###
  548. $7,676 thegreatt123
  549. $7,676 santa kermie
 *550. $7,682 77183999
  551. $7,683 TheIMightyTouch
  552. $7,684 MegaGamerGuy
 *553. $7,689 splatoonn
  554. $7,689 PJ
  555. $7,689 Rivz
  556. $7,693 hollierfletcher9
  557. $7,698 ch.223
 *558. $7,702 Jersku
 *559. $7,702 Bull Moose
 *560. $7,704 footington
  561. $7,705 Quoth
 *562. $7,706 ✪無名鼎鼎
 *563. $7,707 Andre
  564. $7,707 shiloh.moonfrost
 *565. $7,708 iKsSuit
  566. $7,708 musabedkadik
 *567. $7,708 JareCav
  568. $7,710 6545430
 *569. $7,714 DRK
  570. $7,714 Mr RolieX
  571. $7,715 Brophdog88
  572. $7,715 Honda
 *573. $7,717 Ameer
 *574. $7,718 The Universe
  575. $7,725 bolt986
  576. $7,726 Jubbykim
  577. $7,728 noobskinninja
 *578. $7,731 max n cheese
  579. $7,736 xpdx3721
 *580. $7,739 CrimsoN
 *581. $7,740 clockworkfish
  582. $7,740 Aton_Freson
 *583. $7,741 Jackapal
 *584. $7,741 ObiWan234
  585. $7,744 anijoker
 *586. $7,747 Ginger
  587. $7,747 emosewamky
  588. $7,748 Deltoro57
  589. $7,749 Cyjal
  590. $7,749 BladedEye
  591. $7,751 Lundregan
  592. $7,753 mastergenius
 *593. $7,754 Mr_Cree
  594. $7,755 skuceti
  595. $7,756 Nidor Nissen
  596. $7,761 ferriterkyle1
 *597. $7,763 infinitrix
  598. $7,764 Anorak
  599. $7,766 Handsome man
  600. $7,766 Noob シ
  601. $7,767 PunchABrick (chess prodigy)
  602. $7,769 ramme197512
 *603. $7,769 KingKavane
  604. $7,770 Yung Salami
  605. $7,771 w00zy
 *606. $7,772 dylanmays13
 *607. $7,775 Odd Man
 *608. $7,779 tonyz01234
 *609. $7,781 hyunhoshin0722
 *610. $7,783 Azinegamer
 *611. $7,785 Loganpie2
 *612. $7,788 whamer100
  613. $7,788 moknori85
  614. $7,789 ms0719584
 *615. $7,789 plane
 *616. $7,797 Frisk
  617. $7,797 RogueLord
  618. $7,798 noahtheninja
  619. $7,799 Truck
  620. $7,799 Shinkirou
  621. $7,801 Vellt
  622. $7,805 Random 5th
 *623. $7,806 Ding Dong
 *624. $7,806 nVentex
 *625. $7,806 r156pahlke
 *626. $7,809 roi.ein.zar
 *627. $7,810 Flames ^-^
  628. $7,810 atomic milk
  629. $7,811 koning_luiaard
 *630. $7,814 desearcher
 *631. $7,817 Krostar
  632. $7,817 ReedyBear
 *633. $7,818 Meme go
  634. $7,819 Levfty
 *635. $7,825 poob
  636. $7,827 176845081
  637. $7,830 Zhecata
  638. $7,832 Inimical
  639. $7,835 spike229
  640. $7,835 KommunistaShpion
  641. $7,835 Stabhole
  642. $7,837 rdsarmientog
  643. $7,839 _
 *644. $7,839 Lemonhead
  645. $7,841 keiranco
  646. $7,846 myself757
 *647. $7,847 wingless_dragon
  648. $7,848 Donger
  649. $7,849 jimmy
  650. $7,850 Tubandchubb
 *651. $7,853 2237141296
  652. $7,854 Stoeptegel
  653. $7,855 lollyH2O
  654. $7,859 Iflounder
  655. $7,861 Campbellsandream
  656. $7,862 mrhilamma
 *657. $7,862 2020全球最佳白给选手
  658. $7,863 Fireball ;3c
 *659. $7,864 1721238043
  660. $7,865 c00kie
 *661. $7,867 ccoodduu
 *662. $7,868 Stooie
 *663. $7,871 GUOxiaoming
 *664. $7,871 Codazen
  665. $7,873 han
  666. $7,877 Schrodingers dog
