Poly Bridge 2 - 4-07 "Big Spender" any% leaderboard (* = breaks)
Updated 2025-11-01T00:53:22.759Z
1000/81167 unique ranks shown

   *1. $299   akkun_ouo
   *2. $299   Dusty
   *3. $312   9k5
   *4. $326   Chris
   *5. $330   Lagiiiie
   *6. $345   somefakegamer
   *7. $355   Monlig-滑地上之小稽
   *8. $420   Cookieblues
   *9. $438   LilliNeko
  698. $9,176 JoeBananana
  699. $9,176 shmine1
  700. $9,177 WillB
  701. $9,177 kimsteve08
  702. $9,177 Aqua
  703. $9,178 esponja do sexo
  704. $9,180 MR MEOLA
  705. $9,180 clayc21
  706. $9,181 Tom
  707. $9,184 dahousecat
  708. $9,184 vladimir.siegl
  709. $9,184 Sangcu
  710. $9,185 tqqq3
 *711. $9,185 Popeye's Hotdog
  712. $9,186 dave.adams.6666
  713. $9,187 mynameisBØND
  714. $9,187 jensk.game
 *715. $9,187 johannes
  716. $9,188 jimmyd5
  717. $9,188 Styffen
  718. $9,189 King Quantum
  719. $9,189 junior
  720. $9,190 hbgoddard
  721. $9,190 컴퓨터01
  722. $9,190 IlIIlIIlIIlllI
  723. $9,191 kferber2002
  724. $9,191 funnyman122
  725. $9,191 Roffel
  726. $9,191 sngho1102
  727. $9,191 Flimflap
  728. $9,192 csjoe
  729. $9,193 rgb.
  730. $9,193 Krompir001
  731. $9,193 샌즈tv
  732. $9,194 allflow
  733. $9,195 ding104134
  734. $9,196 Dave
  735. $9,196 natelbug
  736. $9,196 Quong
  737. $9,197 magnssg
  738. $9,197 Wassooon
  739. $9,197 breakingit32
  740. $9,197 flowkrad
  741. $9,198 massapalli
  742. $9,199 mars198541
  743. $9,199 Kraka069
  744. $9,200 Freedom_IT
  745. $9,201 jsm11180
  746. $9,202 Smitty Werbenjagermanjenson
  747. $9,203 Eugene
  748. $9,204 ExiledOrange334
  749. $9,204 ssa19kr
  750. $9,205 0909aiden
  751. $9,205 Grandma 47
  752. $9,206 hmy9130
